database	organism_or_subset	category	source_url	description	source_filename	source_format	source_version	released_on	license	login_required	beams_db_version	database_name	id	molecular_formula	inchi	inchi_key	pubchem_id	smiles	name
HMDB	Human	sweat	http://www.hmdb.ca/system/downloads/current/sweat_metabolites.zip	HMDB - The Sweat Metabolome Database | v4.0 | v1	sweat_metabolites.xml	xml	v4.0	2018-07-08	http://www.hmdb.ca/downloads	0	v1	hmdb_sweat_v4_0_v1	accession	chemical_formula	inchi	inchi_key	pubchem_compound_id	smiles	name
HMDB	Human	full	http://www.hmdb.ca/system/downloads/current/hmdb_metabolites.zip	HMDB - The Human Metabolome Database | v4.0 | v1	hmdb_metabolites.xml	xml	v4.0	2018-07-08	http://www.hmdb.ca/downloads	0	v1	hmdb_full_v4_0_v1	accession	chemical_formula	inchi	inchi_key	pubchem_compound_id	smiles	name
KEGG	Daphnia_pulex	dpx	https://www.kegg.jp/kegg/rest/keggapi.html	KEGG - Daphnia pulex (dpx) | 2018-11-01 | v1	API	API	2018-11-01	2018-11-01	-	0	v1	kegg_dpx_20181101_v1	entry	formula					name
KEGG	Human	hsa	https://www.kegg.jp/kegg/rest/keggapi.html	KEGG - Human (hsa) | 2018-11-01 | v1	API	API	2018-11-01 | v1	2018-11-01	-	0	v1	kegg_hsa_20181101_v1	entry	formula					name
KEGG		full	https://www.kegg.jp/kegg/rest/keggapi.html	KEGG - Full database | 2018-11-01 | v1	API	API	2018-11-01 | v1	2018-11-01	-	0	v1	kegg_full_20181101_v1	entry	formula					name
LIPID_MAPS		FattyAcyls	https://www.lipidmaps.org/resources/downloads/LMSDFDownload12Dec17.zip	LIPID_MAPS - FattyAcyls | 2018-12-17 | v1	LMSDFDownload12Dec17/LMSDFDownload12Dec17FinalFA.sdf	sdf	2018-12-17	2018-12-17	-	0	v1	lipidmaps_fattyacyls_20181217_v1	LM_ID	FORMULA	INCHI	INCHI_KEY	PUBCHEM_CID	SMILES	COMMON_NAME
LIPID_MAPS		Glycerolipids	https://www.lipidmaps.org/resources/downloads/LMSDFDownload12Dec17.zip	LIPID_MAPS - Glycerolipids | 2018-12-17 | v1	LMSDFDownload12Dec17/LMSDFDownload12Dec17FinalGL.sdf	sdf	2018-12-17	2018-12-17	-	0	v1	lipidmaps_glycerolipids_20181217_v1	LM_ID	FORMULA	INCHI	INCHI_KEY	PUBCHEM_CID	SMILES	COMMON_NAME
LIPID_MAPS		Glycerophospholipids	https://www.lipidmaps.org/resources/downloads/LMSDFDownload12Dec17.zip	LIPID_MAPS - Glycerophospholipids | 2018-12-17 | v1	LMSDFDownload12Dec17/LMSDFDownload12Dec17FinalGP.sdf	sdf	2018-12-17	2018-12-17	-	0	v1	lipidmaps_slycerophospholipids_20181217_v1	LM_ID	FORMULA	INCHI	INCHI_KEY	PUBCHEM_CID	SMILES	COMMON_NAME
LIPID_MAPS		Polyketides	https://www.lipidmaps.org/resources/downloads/LMSDFDownload12Dec17.zip	LIPID_MAPS - Polyketides | 2018-12-17 | v1	LMSDFDownload12Dec17/LMSDFDownload12Dec17FinalPK.sdf	sdf	2018-12-17	2018-12-17	-	0	v1	lipidmaps_solyketides_20181217_v1	LM_ID	FORMULA	INCHI	INCHI_KEY	PUBCHEM_CID	SMILES	COMMON_NAME
LIPID_MAPS		PrenolLipids	https://www.lipidmaps.org/resources/downloads/LMSDFDownload12Dec17.zip	LIPID_MAPS - PrenolLipids | 2018-12-17 | v1	LMSDFDownload12Dec17/LMSDFDownload12Dec17FinalPR.sdf	sdf	2018-12-17	2018-12-17	-	0	v1	lipidmaps_srenollipids_20181217_v1	LM_ID	FORMULA	INCHI	INCHI_KEY	PUBCHEM_CID	SMILES	COMMON_NAME
LIPID_MAPS		Sacccharolipids	https://www.lipidmaps.org/resources/downloads/LMSDFDownload12Dec17.zip	LIPID_MAPS - Sacccharolipids | 2018-12-17 | v1	LMSDFDownload12Dec17/LMSDFDownload12Dec17FinalSL.sdf	sdf	2018-12-17	2018-12-17	-	0	v1	lipidmaps_sacccharolipids_20181217_v1	LM_ID	FORMULA	INCHI	INCHI_KEY	PUBCHEM_CID	SMILES	COMMON_NAME
LIPID_MAPS		Sphingolipids	https://www.lipidmaps.org/resources/downloads/LMSDFDownload12Dec17.zip	LIPID_MAPS - Sphingolipids | 2018-12-17 | v1	LMSDFDownload12Dec17/LMSDFDownload12Dec17FinalSP.sdf	sdf	2018-12-17	2018-12-17	-	0	v1	lipidmaps_sphingolipids_20181217_v1	LM_ID	FORMULA	INCHI	INCHI_KEY	PUBCHEM_CID	SMILES	COMMON_NAME
LIPID_MAPS		SterolLipids	https://www.lipidmaps.org/resources/downloads/LMSDFDownload12Dec17.zip	LIPID_MAPS - SterolLipids | 2018-12-17 | v1	LMSDFDownload12Dec17/LMSDFDownload12Dec17FinalST.sdf	sdf	2018-12-17	2018-12-17	-	0	v1	lipidmaps_sterollipids_20181217_v1	LM_ID	FORMULA	INCHI	INCHI_KEY	PUBCHEM_CID	SMILES	COMMON_NAME
LIPID_MAPS		full	https://www.lipidmaps.org/resources/downloads/LMSDFDownload12Dec17.zip	LIPID_MAPS - Full database | 2018-12-17 | v1	LMSDFDownload12Dec17/LMSDFDownload12Dec17FinalAll.sdf	sdf	2018-12-17	2018-12-17	-	0	v1	lipidmaps_full_20181217_v1	LM_ID	FORMULA	INCHI	INCHI_KEY	PUBCHEM_CID	SMILES	COMMON_NAME
YMDB	Saccharomyces_cerevisiae	full	http://www.ymdb.ca/system/downloads/current/ymdb.sdf.zip	Yeast Metabolome Database (YMDB) | v2.0 | v1	ymdb.sdf	sdf	v2.0	2017-01-01	http://www.ymdb.ca/downloads	0	v1	ymdb_full_v2_0_v1	DATABASE_ID	FORMULA	INCHI_IDENTIFIER	INCHI_KEY		SMILES	GENERIC_NAME
