compound_id	molecular_formula	compound_name
4253	C10H11NO3	"5,6-Dihydroxy-3-methyl-2-oxo-1,2,5,6-tetrahydroquinoline"
31351	C10H11NO3	Actarit (JAN/INN)
31289	C10H11NO3	Betamipron (JAN/INN)
7571	C10H11NO3	Cichorine
6958	C10H11NO3	Gentioflavine
12298	C10H11NO3	Methylhippuric acid
41387	C10H11NO3	o-methylhippurate
3534	C10H11NO3	Phenylacetylglycine
37414	C10H11NO3S3	3-(2-Benzothiazolylthio)-1-Propanesulfonic Acid
38223	C10H11NO4	4-(1-Amino-1-Carboxy-Ethyl)-Benzoic Acid
3532	C10H11NO4	4-Hydroxyphenylacetylglycine
2633	C10H11NO4	N-Benzyloxycarbonylglycine
105	C10H11NO4	N-Formyl-L-tyrosine
35282	C10H11NO4S2	Stepronin (INN)
8315	C10H11NO5	4-Amino-4-deoxychorismate
18757	C10H11NO6	"2,3-dihydroxybenzoylserine"
2879	C10H11NO6	"N-(2,3-Dihydroxybenzoyl)-L-serine"
10163	C10H12	Dicyclopentadiene
9870	C10H12	Tetralin
8233	C10H12BrN5O4	8-Bromoadenosine
30662	C10H12Cl2N4O2	Guanabenz acetate (JP15/USP)
35073	C10H12ClN3	Tolonidine (INN)
30568	C10H12ClN3O3S	Quinethazone (JAN/INN)
41988	C10H12ClN4O7P	"6-Chloropurine Riboside, 5'-Monophosphate"
36659	C10H12ClN5O2	2-Chlorodideoxyadenosine
31326	C10H12ClN5O3	Cladribine (JAN/USAN/INN)
35203	C10H12ClNO	Beclamide (INN)
30387	C10H12ClNO2	Baclofen (JP15/USP/INN)
10258	C10H12ClNO2	Chlorpropham
30801	C10H12ClNO4	Chlorphenesin carbamate (JP15/USAN)
38803	C10H12FN3O4	Tezacitabine
33803	C10H12FN5O2	Lodenosine (USAN)
37277	C10H12FN5O3	2-Fluoro-2'-Deoxyadenosine
37840	C10H12FN5O3	5'-Fluoro-5'-Deoxyadenosine
38346	C10H12FN5O4	2-Fluoroadenosine
35694	C10H12FN5O4	Fludarabine (INN)
80001	C10H12MoN5O7PS3	Molybdenum cofactor (sulfide)
2036	C10H12N2	2-(2-Aminoethyl)indole
7121	C10H12N2	Anatabine
40749	C10H12N2	Nicotine imine
18221	C10H12N2	N-methyl-3-aminomethylindole
4545	C10H12N2	Tolazoline
830	C10H12N2	Tryptamine
1058	C10H12N2O	3-(2-Aminoethyl)-1H-indol-5-ol
35734	C10H12N2O	4-Methylaminorex
12371	C10H12N2O	Cotinine
19335	C10H12N2O	N-hydroxyl-tryptamine
12460	C10H12N2O2	5'-Hydroxycotinine
6903	C10H12N2O2	Acanthicifoline
12453	C10H12N2O2	Cotinine N-oxide
12450	C10H12N2O2	Hydroxycotinine
12439	C10H12N2O2	N'-Hydroxymethylnorcotinine
12356	C10H12N2O2	Oxoamide
18120	C10H12N2O2	trans-3'-hydroxycotinine
38029	C10H12N2O3	3-(Benzoylamino)-L-Alanine
32559	C10H12N2O3	Allobarbital (USAN/INN)
38076	C10H12N2O3	D-[(Amino)Carbonyl]Phenylalanine
3565	C10H12N2O3	Formyl-5-hydroxykynurenamine
793	C10H12N2O3	L-Kynurenine
7954	C10H12N2O3S	Bentazone
2159	C10H12N2O4	3-Hydroxykynurenine
3569	C10H12N2O4	5-Hydroxykynurenine
37059	C10H12N2O4	L-[(N-Hydroxyamino)Carbonyl]Phenylalanine
30563	C10H12N2O4	Sanilvudine (JAN)
4656	C10H12N2O4	Stavudine
10054	C10H12N2O5	Dinoseb
5011	C10H12N2O5S	7-Aminocephalosporanic acid
12269	C10H12N2O8	Orotidine
8007	C10H12N3O3PS2	Azinphos methyl
32255	C10H12N4O2S2	Sulfaethidole (INN)
36862	C10H12N4O3	2'3'-Dideoxyinosine
31782	C10H12N4O3	Carbazochrome (JAN/INN)
4422	C10H12N4O3	Didanosine
11923	C10H12N4O4	Deoxyinosine
1603	C10H12N4O4	Nebularine
42022	C10H12N4O4	Purine Riboside
31610	C10H12N4O4S	Thioinosine (JAN)
37132	C10H12N4O4Se	Selenoinosine
12853	C10H12N4O5	Arabinosylhypoxanthine
38175	C10H12N4O5	Formycin B
11938	C10H12N4O5	Inosine
34036	C10H12N4O5	Nifurdazil (USAN/INN)
42244	C10H12N4O5S	Carbazochrome sulfonate (JP15/INN)
30708	C10H12N4O5S	Tazobactam (JAN/USAN/INN)
12089	C10H12N4O6	Allopurinol riboside
11959	C10H12N4O6	Xanthosine
38631	C10H12N4O6S	Isatoribine
1170	C10H12N5O5P	"3',5'-Cyclic dAMP"
1941	C10H12N5O6P	"2',3'-Cyclic AMP"
945	C10H12N5O6P	"3',5'-Cyclic AMP"
2015	C10H12N5O6P	"3',5'-Cyclic dGMP"
37448	C10H12N5O6PS	"Guanosine-2',3'-Cyclophosphorothioate"
3872	C10H12N5O7P	"2',3'-Cyclic GMP"
1157	C10H12N5O7P	"3',5'-Cyclic GMP"
4461	C10H12N5O7P	3'-Keto-3'-deoxy-AMP
37244	C10H12N6O2	5-{[(2-Amino-9h-Purin-6-Yl)Oxy]Methyl}-2-Pyrrolidinone
18882	C10H12N6O4	adenosine 5'-carboxamide
22456	C10H12O	"2,4,6,8-decatetraenal"
37535	C10H12O	2-Allyl-6-Methyl-Phenol
10061	C10H12O	"5,6,7,8-Tetrahydro-2-naphthol"
7422	C10H12O	Anethole
7443	C10H12O	Estragole
4125	C10H12O	p-Cumic aldehyde
21169	C10H12O2	"2,4-decadiynoic acid"
11980	C10H12O2	2-Phenylbutyric acid
37609	C10H12O2	3-(P-Tolyl)Propionic Acid
12545	C10H12O2	3-Phenylbutyric acid
12128	C10H12O2	Benzenebutanoic acid
6900	C10H12O2	beta-Thujaplicin
36523	C10H12O2	Duroquinone
7444	C10H12O2	Eugenol
6854	C10H12O2	Evodone
6901	C10H12O2	gamma-Thujaplicin
33858	C10H12O2	Hinokitiol
7460	C10H12O2	Isoeugenol
4126	C10H12O2	p-Cumate
398	C10H12O2	Phenethyl acetate
17774	C10H12O2	rasberry ketone
37280	C10H12O2S	2-Thiomethyl-3-Phenylpropanoic Acid
21365	C10H12O3	"10-hydroxy-2E,8E-Decadiene-4,6-diynoic acid"
21366	C10H12O3	"10-hydroxy-2E,8Z-Decadiene-4,6-diynoic acid"
21367	C10H12O3	"10-hydroxy-2Z,8Z-Decadiene-4,6-diynoic acid"
956	C10H12O3	Coniferyl alcohol
31375	C10H12O3	Propyl parahydroxybenzoate (JP15)
36337	C10H12O3	Trans-O-Hydroxy-Alpha-Methyl Cinnamate
11210	C10H12O3	U 0521
4128	C10H12O4	"2,3-Dihydroxy-p-cumate"
7674	C10H12O4	"2',6'-Dimethoxy-4'-hydroxyacetophenone"
9073	C10H12O4	5-Hydroxyconiferyl alcohol
7654	C10H12O4	Acetosyringone
12065	C10H12O4	Homoveratric acid
18122	C10H12O4	phlorisobutyrophenone
7716	C10H12O4	Xanthoxylin
38352	C10H12O5	"5-(3,3-Dihydroxypropeny)-3-Methoxy-Benzene-1,2-Diol"
32675	C10H12O5	Asperlin (USAN)
7664	C10H12O5	Danielone
8137	C10H12O5	n-Propyl gallate
12327	C10H12O5	Vanillactic acid
4129	C10H12O6	"2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate"
34277	C10H12O8	Polyglactin 370 (USAN)
18655	C10H12O9	"hexane-6-keto-1,3,4,6-tetracarboxylate"
42000	C10H13BN2O3	"[4-(1,3,2-Dioxaborolan-2-Yloxy)Methyl]Benzamidine"
18595	C10H13BrN2O4	2-bromoporphobilinogen
37569	C10H13BrN5O7P	8-Bromo-Adenosine-5'-Monophosphate
10494	C10H13ClN2	Chlorphenamidine
8642	C10H13ClN2	m-Chlorophenylpiperazine
8000	C10H13ClN2O2	Metoxuron
39981	C10H13ClN2O2S	Nitralamide (USAN)
30413	C10H13ClN2O3S	Chlorpropamide (JP15/USP/INN)
35501	C10H13ClO	Chlorothymol
32568	C10H13FN2O4	Alovudine (USAN/INN)
33022	C10H13FN2O5	Clevudine (USAN)
31822	C10H13FN5O7P	Fludarabine phosphate (JAN/USP)
6906	C10H13N	Actinidine
1253	C10H13N2O11P	Orotidine 5'-phosphate
12498	C10H13N2O7P	"Thymidine 3',5'-cyclic monophosphate"
9563	C10H13N3	Debrisoquin
13487	C10H13N3O	4-Hydroxydebrisoquine
11156	C10H13N3O2	5-(alpha-Phenylethyl)semioxamazide
11846	C10H13N3O2	NNK (carcinogen)
38541	C10H13N3O2S	2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID
37497	C10H13N3O4	"(S)-2-Amino-3-(1,3,5,7-Pentahydro-2,4-Dioxo-Cyclopenta[E]Pyrimidin-1-Yl) Proionic Acid"
5131	C10H13N3O5S	Nifurtimox
2440	C10H13N4O10P	Urate D-ribonucleotide
3874	C10H13N4O7P	2'-Deoxyinosine 5'-phosphate
37469	C10H13N4O7P	7-Alpha-D-Ribofuranosyl-Purine-5'-Phosphate
13523	C10H13N4O7P	dIMP
37848	C10H13N4O7P	Purine Riboside-5'-Monophosphate
3107	C10H13N4O7PS	6-Thioinosine 5'-monophosphate
657	C10H13N4O8P	IMP
20209	C10H13N4O8P	inosine-5'-phosphate
37247	C10H13N4O8P	"Phosphoric Acid Mono-[3,4-Dihydroxy-5-(5-Hydroxy-Benzoimidazol-1-Yl)Tetrahydro-Furan-2-Ylmethyl] Ester"
986	C10H13N4O9P	Xanthosine 5'-phosphate
19079	C10H13N5	isopentenyladenine
2824	C10H13N5	N6-(delta2-Isopentenyl)-adenine
11261	C10H13N5O	cis-Zeatin
18141	C10H13N5O	trans-zeatin
816	C10H13N5O	Zeatin
37802	C10H13N5O2	"1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol"
3315	C10H13N5O3	5'-Deoxyadenosine
5452	C10H13N5O3	Cordycepin
938	C10H13N5O3	Deoxyadenosine
37757	C10H13N5O4	3-Deoxyguanosine
8437	C10H13N5O4	9-Riburonosyladenine
712	C10H13N5O4	Adenosine
795	C10H13N5O4	Deoxyguanosine
36783	C10H13N5O4	Formycin
4585	C10H13N5O4	Zidovudine
36945	C10H13N5O5	8-Hydroxy-2'-Deoxyguanosine
12894	C10H13N5O5	8-Hydroxy-deoxyguanosine
5453	C10H13N5O5	Crotonoside
823	C10H13N5O5	Guanosine
12592	C10H13N5O6	8-Hydroxyguanosine
2948	C10H13NO	(R)-2-Methylimino-1-phenylpropan-1-ol
8423	C10H13NO	EPA
4266	C10H13NO	N-Acetylphenylethylamine
38302	C10H13NO	N-Methyl-N-(Methylbenzyl)Formamide
37426	C10H13NO	Phenylalanylmethane
13228	C10H13NO2	(R)-Salsolinol
12408	C10H13NO2	2(N)-Methyl-norsalsolinol
35767	C10H13NO2	"3,4-Methylenedioxyamphetamine"
37085	C10H13NO2	3-Methylphenylalanine
7141	C10H13NO2	Fusaric acid
41683	C10H13NO2	"N,N-dimethyldopaminequinone"
4890	C10H13NO2	Phenacetin
31743	C10H13NO2	Phenprobamate (JAN/INN)
34400	C10H13NO2	Risocaine (USAN)
10330	C10H13NO2	Xylylcarb
38406	C10H13NO2S	Benzylcysteine
8718	C10H13NO3	alpha-Methyl-m-tyrosine
32428	C10H13NO3	Buramate (USAN)
7578	C10H13NO3	Damascenine
2479	C10H13NO3	L-Tyrosine methyl ester
5099	C10H13NO3	Metyrosine
12463	C10H13NO4	3-Methoxytyrosine
29592	C10H13NO4	3-O-methyldopa
6942	C10H13NO4	Enicoflavine
33793	C10H13NO4	Lisadimate (USAN/INN)
35207	C10H13NO4	Melevodopa (INN)
4572	C10H13NO4	Methyldopa anhydrous
38588	C10H13NO4S2	Ethyl (1E)-2-phenyl-N-(sulfooxy)ethanimidothioate
31544	C10H13NO4S2	Meticrane (JP15/INN)
1086	C10H13NO5	L-Arogenate
36559	C10H13NO5S	O-Benzylsulfonyl-Serine
2877	C10H13NO6S	L-Tyrosine methyl ester 4-sulfate
31708	C10H13NO7	Nicotinyl alcohol tartrate (JAN)
8093	C10H13NO8	3-beta-D-Glucopyranuronosyloxy-5-methylisoxazole
20304	C10H13O10P	5-enolpyruvyl-shikimate-3-phosphate
1361	C10H13O10P	5-O-(1-Carboxyvinyl)-3-phosphoshikimate
38421	C10H14BrN5O10P2	8-Bromoadenosine-5'-Diphosphate
35786	C10H14BrNO2	"4-Bromo-2,5-dimethoxyphenethylamine"
7949	C10H14Cl6N4O2	Triforine
4864	C10H14ClN	Chlorphentermine
35778	C10H14ClN	Clortermine
35359	C10H14ClN3OS	Azintamide (INN)
38327	C10H14ClNO	3-Amino-1-Chloro-4-Phenyl-Butanol-2-Yl
34465	C10H14F2N2O2	Seletracetam (USAN/INN)
38779	C10H14F2N2O2	UCB 44212
38226	C10H14F2N5O4P	"9-(5,5-Difluoro-5-Phosphonopentyl)Guanine"
37464	C10H14FN2O7P	"Phosphoric Acid Mono-[3-Fluoro-5-(5-Methyl-2,4-Dioxo-3,4-Dihydro-2h-Pyrimidin-1-Yl)-Tetrahyro-Furan-2-Ylmethyl] Ester"
36883	C10H14IN5O4	"2-Ribofuranosyl-3-Iodo-2,3-Dihydro-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine"
3860	C10H14N2	Anabasine
1036	C10H14N2	Nicotine
38771	C10H14N2	TC-2403-12
2286	C10H14N2O	(R)-6-Hydroxynicotine
1226	C10H14N2O	(S)-6-Hydroxynicotine
12441	C10H14N2O	2'-Hydroxynicotine
32808	C10H14N2O	Bupicomide (USAN/INN)
12478	C10H14N2O	Nicotine-1'-N-oxide
35308	C10H14N2O	Nikethamide (INN)
12417	C10H14N2O	Pseudooxynicotine
36991	C10H14N2O10P2	"2',3'-Dehydro-2',3'-Deoxy-Thymidine 5'-Diphosphate"
1378	C10H14N2O2	6-Hydroxypseudooxynicotine
11550	C10H14N2O3	"2,6-Dihydroxypseudooxynicotine"
5045	C10H14N2O3	Aprobarbital
33838	C10H14N2O3S	Lydimycin (USAN/INN)
37559	C10H14N2O3S2	(4-sulfamoyl-phenyl)-thiocarbamic acid O-(2-thiophen-3-yl-ethyl) ester
35827	C10H14N2O4	Carbidopa
406	C10H14N2O4	Porphobilinogen
35227	C10H14N2O4	Proxibarbal (INN)
31706	C10H14N2O4S2	Sultiame (JP15)
37455	C10H14N2O5	"1-Beta-Ribofuranosyl-1,3-Diazepinone"
38307	C10H14N2O5	3-Deazacytidine
37875	C10H14N2O5	5-Methyl-2'-Deoxypseudouridine
34962	C10H14N2O5	Telbivudine (USAN/INN)
714	C10H14N2O5	Thymidine
3280	C10H14N2O6	(1-Ribosylimidazole)-4-acetate
13036	C10H14N2O6	3-Methyluridine
12310	C10H14N2O6	Ribothymidine
12919	C10H14N4O10P2	dIDP
41919	C10H14N4O10P2S	2-Deamino-6-Deoxy-6thiophosphite-5'-Phosphate Guanosine
37692	C10H14N4O11P2	6-O-Phosphoryl Inosine Monophosphate
1400	C10H14N4O11P2	dXDP
12896	C10H14N4O11P2	IDP
1395	C10H14N4O12P2	XDP
9608	C10H14N4O2	IBMX
35152	C10H14N4O2	Morinamide (INN)
37567	C10H14N4O3	4-(Acetylamino)-3-Guanidinobenzoic Acid
31694	C10H14N4O3	Proxyphylline (JAN/INN)
5043	C10H14N4O4	Dyphylline
36926	C10H14N4O5	"6-Hydroxy-7,8-Dihydro Purine Nucleoside"
3071	C10H14N4O5	"6-Hydroxyl-1,6-dihydropurine ribonucleoside"
10365	C10H14N4S	6-(Pentylthio)purine
723	C10H14N5O10PS	Adenylyl sulfate
3593	C10H14N5O10PSe	Adenylylselenate
4460	C10H14N5O13P3	3'-Keto-3'-deoxy-ATP
37194	C10H14N5O13P3	Guanosine 5'-Diphosphate 2':3'-Cyclic Monophosphate
37327	C10H14N5O5PS2	Adenosine-5'-(Dithio)Phosphate
808	C10H14N5O6P	dAMP
3714	C10H14N5O6PS2	Molybdopterin
38358	C10H14N5O7P	2'-Deoxyguanosine-5'-Monophosphate
1407	C10H14N5O7P	3'-AMP
37805	C10H14N5O7P	3'-Azido-3'-Deoxythymidine-5'-Monophosphate
2961	C10H14N5O7P	7-alpha-D-Ribosyladenine 5'-phosphate
1160	C10H14N5O7P	Adenosine 2'-phosphate
576	C10H14N5O7P	AMP
810	C10H14N5O7P	dGMP
37658	C10H14N5O7P	Formycin-5'-Monophosphate
34809	C10H14N5O7P	Vidarabine phosphate (USAN)
36599	C10H14N5O8P	8-Oxo-2'-Deoxy-Guanosine-5'-Monophosphate
666	C10H14N5O8P	GMP
3871	C10H14N5O8P	Guanosine 3'-phosphate
36532	C10H14N5O8P	Guanosine-2'-Monophosphate
1154	C10H14N6O4	2-Aminoadenosine
37256	C10H14N6O6S	"[(2r,3s,4r,5r)-5-(6-Amino-9h-Purin-9-Yl)-3,4-Dihydroxytetrahydro-2-Furanyl]Methyl Sulfamate"
9430	C10H14NO5P	p-Nitrophenyl-O-ethyl ethylphosphonate
4148	C10H14NO5PS	Parathion
4150	C10H14NO6P	Paraoxon
2000	C10H14O	(-)-Isopiperitenone
8340	C10H14O	(+)-(S)-Carvone
17842	C10H14O	(+)-menthofuran
1682	C10H14O	(+)-Sabinone
22455	C10H14O	"2,4,7-decatrienal"
9892	C10H14O	2-sec-Butylphenol
9884	C10H14O	2-tert-Butylphenol
9940	C10H14O	3-tert-Butylphenol
10489	C10H14O	4-Isopropyl-3-methylphenol
10216	C10H14O	4-n-Butylphenol
9893	C10H14O	4-sec-Butylphenol
9952	C10H14O	4-tert-Butylphenol
19154	C10H14O	adamantanone
6837	C10H14O	Carvacrol
6840	C10H14O	Chrysanthenone
1910	C10H14O	Isopiperitenone
6864	C10H14O	Menthofuran
8828	C10H14O	Myrtenal
4124	C10H14O	p-Cumic alcohol
2050	C10H14O	Perillyl aldehyde
6880	C10H14O	Pinocarvone
1725	C10H14O	Piperitenone
18000	C10H14O	safranal
6904	C10H14O	Thymol
6907	C10H14O	Umbellulone
6909	C10H14O	Verbenone
2283	C10H14O2	"(+)-Bornane-2,5-dione"
11906	C10H14O2	"1-(3,4-dimethylphenyl)ethane-1,2-diol"
20942	C10H14O2	"2E,6E,8E-decatrienoic acid"
20943	C10H14O2	"2E,6Z,8E-decatrienoic acid"
10103	C10H14O2	4-Butoxyphenol
19156	C10H14O2	4-oxahomoadamantan-5-one
19155	C10H14O2	5-hydroxyadamantan-2-one
10267	C10H14O2	Camphorquinone
6838	C10H14O2	Carvone oxide
6775	C10H14O2	Dolichodial
8829	C10H14O2	Myrtenic acid
6789	C10H14O2	Nepetalactone cis-trans-form
6790	C10H14O2	Nepetalactone trans-cis-form
8813	C10H14O2	Perillic acid
6883	C10H14O2	Piquerol A
6892	C10H14O2	Rotundifolone
31386	C10H14O2	trans-pi-Oxocamphor (JAN)
21781	C10H14O3	"10-oxo-5,8-decadienoic acid"
19157	C10H14O3	1-hydroxy-4-oxahomoadamantan-5-one
4552	C10H14O3	"2-Oxo-delta3-4,5,5-trimethylcyclopentenylacetate"
2242	C10H14O3	"5-Oxo-1,2-campholide"
21292	C10H14O3	5-oxo-7-decynoic acid
7439	C10H14O3	Dihydroconiferyl alcohol
3798	C10H14O3	Iridotrial
32388	C10H14O3	Mephenesin (INN)
19576	C10H14O4	"1-(3,4-dimethoxylphenyl)ethane-1,2-diol"
6850	C10H14O4	"1,2-Dihydroxymint lactone"
4127	C10H14O4	"cis-2,3-Dihydroxy-2,3-dihydro-p-cumate"
13193	C10H14O4	Guaifenesin
38424	C10H14O6	"4,7-Dioxosebacic Acid"
34273	C10H14O6	Poliglecaprone 25 (USAN)
18658	C10H14O8	"hexane-1,3,4,6-tetracarboxylate"
18660	C10H14O9	"hexane-6-ol-1,3,4,6-tetracarboxylate"
38060	C10H15BN4O6S	Pinacol[[2-Amino-Alpha-(1-Carboxy-1-Methylethoxyimino)-4-Thiazoleacetyl]Amino]Methaneboronate
37292	C10H15N	1-Benzyl-(R)-Propylamine
7990	C10H15N	"2,6-Diethylaniline"
38258	C10H15N	4-Phenylbutylamine
4555	C10H15N	Methamphetamine
4754	C10H15N	Phentermine
37235	C10H15N2O13P3	"2',3'-Dehydro-2',3'-Deoxy-Thymidine 5'-Triphosphate"
37299	C10H15N2O6PS2	Thymidine-5'-(Dithio)Phosphate
37427	C10H15N2O7P	"2',3'-Dideoxythymidine-5'-Monophosphate"
37183	C10H15N2O7P	N-Pyridoxyl-Glycine-5-Monophosphate
37151	C10H15N2O8P	4'-Deoxy-4'-Acetylyamino-Pyridoxal-5'-Phosphate
812	C10H15N2O8P	dTMP
18170	C10H15N2O8P	thymidine 3'-monophosphate
2991	C10H15N2O9P	1-(5-Phosphoribosyl)imidazole-4-acetate
37929	C10H15N2O9P	5-Hydroxymethyluridine-2'-Deoxy-5'-Monophosphate
38213	C10H15N2O9P	5-Methyluridine 5'-Monophosphate
13405	C10H15N2O9P	Imidazoleacetic acid ribotide
36616	C10H15N3	N-(3-(Aminomethyl)Benzyl)Acetamidine
40086	C10H15N3O	Sabcomeline (USAN)
38747	C10H15N3O2	Epicept NP-1
2575	C10H15N3O4	5-Methyl-2'-deoxycytidine
12679	C10H15N3O4	5-Methyldeoxycytidine
12352	C10H15N3O5	5-Methylcytidine
32738	C10H15N3O5	Benserazide (USAN/INN)
5451	C10H15N3O8	Convicine
37921	C10H15N3O8	"N-(8,9,10-Trihydroxy-7-Hydroxymethyl-2,4-Dioxo-6-Oxa-1,3-Diaza-Spiro[4.5]Dec-3-Yl-Acetamide"
39272	C10H15N3S	Talipexole (JAN)
